//My input table "matrix.tab", some microarray data//

ID_REF	GSM25349	GSM25350	GSM25356	GSM25357
200000_s_at	2768.4	2605.6	2058.8	1920.5
200001_at	2503.7	2881.4	2201.8	2580.7
200002_at	23153.8	24351.2	17455.6	12257.8
200003_s_at	23458.2	24298.2	19064.6	15105.3
200004_at	4972.2	4920.7	6542.7	6028.4
200005_at	6600.9	7526.9	4004.2	4411.3
200006_at	9246.7	9750.1	8519.6	8718.4
200007_at	4917.4	4763.4	5024.4	5265.1
200008_s_at	4002.4	4280.6	1811.7	1516.4
200009_at	6565.1	6577.5	4809.4	5354.1
200010_at	16488.9	15388.9	13689.6	10883.2
200011_s_at	1532	1347.8	1136.8	1260.5
200012_x_at	25402.5	24861.3	19184.1	15784.5
200013_at	20385.3	21340.9	17386.1	13626.5
200014_s_at	2559.5	1936.2	3489.8	3821.9
200015_s_at	2916.3	3371.9	2254.9	3062.9
200016_x_at	12750.6	11156.6	13365.4	10518.3
200017_at	11471	14956.6	12431.3	9255.6
200018_at	22915.6	19068.3	24882.4	17120.4
200019_s_at	20292.6	21505.7	15988.4	12201.8
200020_at	2278	2072.6	2277.2	2485.2
200021_at	20319.7	20313.8	13547	9964.6
200022_at	22830.6	23419.9	18635	15802.9
200023_s_at	8208.2	8150.8	5387.5	4973.4
200024_at	17473	18622.5	11073.6	9123.2
200025_s_at	20289.3	22450.5	18651.5	15578
200026_at	23204.3	23370.6	23274.6	18070.1
200027_at	1495.9	1447.7	2126.2	1984.4
200028_s_at	2805.7	3064.9	3634.2	3806.6
200029_at	27504.9	30058	29134.1	23255
200030_s_at	14468	13277.6	8859	8783.1
200031_s_at	30687.5	30993.7	26684.8	20812.9
200032_s_at	23735	18212.2	21499.7	16589.2
200033_at	3088	2570.6	4328.6	4098.6
200034_s_at	17042.6	14692.7	12677.6	10240.5
200035_at	1023	1330.2	1111.2	998.1



//Command to show only those microarray probes (ID_REF) for which column 1 (sample GSM25349) has a value of <=2000//

bio-table matrix.tab --num-filter "values[1] <= 2000" > matrixfiltered.tab



//Output data, in file "matrixfiltered.tab"

ID_REF	GSM25349	GSM25350	GSM25356	GSM25357
200011_s_at	1532	1347.8	1136.8	1260.5
200014_s_at	2559.5	1936.2	3489.8	3821.9
200027_at	1495.9	1447.7	2126.2	1984.4
200035_at	1023	1330.2	1111.2	998.1
